OBJECTID,Name,Location,District,Neighbourhood,Container_Type,Bin_Type,Longitude,Latitude
1,"Reciklažno dvorište Špansko","Ulica Dobriše Cesarića 2a","Stenjevec","Špansko - sjever","","Reciklažna dvorišta",15.906057000386905,45.803045999067756
2,"Reciklažno dvorište Trešnjevka sjever","Zagorska ulica 3","Trešnjevka - sjever","Ciglenica","","Reciklažna dvorišta",15.947008999595694,45.80792999943082
3,"Reciklažno dvorište Kajzerica","Žarka Dolinara 5","Novi Zagreb - zapad","Kajzerica","","Reciklažna dvorišta",15.964424437245675,45.780373804755904
4,"Reciklažno dvorište Jakuševec","Sajmišna cesta bb","Novi Zagreb - istok","Jakuševec","","Reciklažna dvorišta",16.023980999532544,45.76857299965276
5,"Reciklažno dvorište Dubrava","Osječka ulica 25","Donja Dubrava","\"30. svibnja 1990.\"","","Reciklažna dvorišta",16.05456299962836,45.82629499886784
6,"Reciklažno dvorište Prilesje","Prilesje 1c","Maksimir","Maksimir","","Reciklažna dvorišta",16.013721311053345,45.82453898113947
7,"Reciklažno dvorište Sesvete","Jelkovečka ulica bb","Sesvete","Sesvetska Sopnica","","Reciklažna dvorišta",16.114782000537655,45.82030199879923
8,"Mobilno reciklažno dvorište Brezovica (Prigradska)","Prigradska ulica III. odvojak","Brezovica","Brezovica","","Reciklažna dvorišta",15.919783133585211,45.7278115631678
9,"Mobilno reciklažno dvorište Trnje","Ulica Frana Folnegovića, preko puta kućnog broja 10","Trnje","Sigečica","","Reciklažna dvorišta",16.00777604099694,45.797870957723234
10,"Mobilno reciklažno dvorište Gornji grad - Medveščak","raskrižje ulica Horvatovac i Ružičnjak","Gornji Grad - Medveščak","Šalata","","Reciklažna dvorišta",15.987623300056704,45.826526499683006
11,"Mobilno reciklažno dvorište Podsused - Vrapče","Ulica Prigornica 2","Podsused - Vrapče","Podsused","","Reciklažna dvorišta",15.855472576922583,45.81713675135538
12,"Reciklažno dvorište Klara","Sisačka cesta 10","Novi Zagreb - zapad","Sveta Klara","","Reciklažna dvorišta",15.956048400595314,45.75386279903452
13,"Reciklažno dvorište Podsused - Vrapče (Vučak)","Kovinska 8a","Podsused - Vrapče","Podsused","","Reciklažna dvorišta",15.853807921004869,45.810137802951985
14,"Mobilno reciklažno dvorište Trešnjevka - jug","Ulica Marice Barić 6","Trešnjevka - jug","Jarun","","Reciklažna dvorišta",15.92787832590129,45.79387134361329
15,"Mobilno reciklažno dvorište Gornja Dubrava","Ulica Klin","Gornja Dubrava","Studentski grad","","Reciklažna dvorišta",16.06640209954406,45.83499539920746
16,"Reciklažno dvorište Žitnjak","Čulinečka cesta 275","Peščenica - Žitnjak","Resnik","","Reciklažna dvorišta",16.079832388140893,45.79513549496116
17,"Reciklažno dvorište Sesvete Jelkovec","Ulica Borisa Ulricha 5","Sesvete","Novi Jelkovec","","Reciklažna dvorišta",16.115031578291358,45.810289392300916
18,"Mobilno reciklažno dvorište Podsljeme (Zdenac)","Prilaz Kraljičinom zdencu kod kućnog broja 4","Podsljeme","Šestine","","Reciklažna dvorišta",15.94974200035511,45.85517679893794
19,"Mobilno reciklažno dvorište Brezovica (Donjodragonoška)","Donjodragonoška cesta, iza kućnog broja 8C","Brezovica","Dragonožec","","Reciklažna dvorišta",15.944498765261644,45.66894991274786
20,"Mobilno reciklažno dvorište Podsljeme (Bidrovečka)","Bidrovečka cesta kod kućnog broja 68","Podsljeme","Markuševec","","Reciklažna dvorišta",16.030233199902607,45.89488439944429
21,"Abramovićeva ulica 1, 10010, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7626715<br>Zemljopisna dužina: 15.9931816","Novi Zagreb - istok","Dugave","Zvono","Staklo",15.99318160038909,45.76267149886032
23,"Albinijeva ulica 12, 10010, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7660994<br>Zemljopisna dužina: 16.0061421","Novi Zagreb - istok","Dugave","Zvono","Staklo",16.006050904928333,45.765910419819804
24,"ALEJA ANTUNA AUGUSTINČIĆA 14, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8190493<br>Zemljopisna dužina: 16.0269714","Maksimir","Maksimirska naselja","Zvono","Staklo",16.027117579792428,45.81907173046195
29,"Ulica Filipa Antolića Sobana 20, 10040, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8514133<br>Zemljopisna dužina: 16.0550083","Gornja Dubrava","Granešina","Zvono","Staklo",16.05511022414598,45.85136472581574
30,"ALEJA MATIJE LJUBEKA 19, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.777756<br>Zemljopisna dužina: 15.9375519","Trešnjevka - jug","Jarun","Zvono","Staklo",15.937734289811926,45.77835087551484
31,"ALEJA POMORACA 23, 10020 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7731481<br>Zemljopisna dužina: 15.9734244","Novi Zagreb - zapad","Siget","Zvono","Staklo",15.973424400198567,45.77314809945991
32,"ALEJA POMORACA 5, 10020 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7732256<br>Zemljopisna dužina: 15.9777372","Novi Zagreb - zapad","Siget","Zvono","Staklo",15.977868628017923,45.77319005296969
33,"ALEJA POMORACA 9, 10020 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7731769<br>Zemljopisna dužina: 15.9768681","Novi Zagreb - zapad","Siget","Zvono","Staklo",15.976868100266813,45.773176899270794
34,"ALEJA POMORACA 94, 10240 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7735835<br>Zemljopisna dužina: 15.9718078","Novi Zagreb - zapad","Siget","Zvono","Staklo",15.971384010832413,45.77357601565871
35,"ALEJA SELJAČKE BUNE 40, PODSUSED, 10090 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8213602<br>Zemljopisna dužina: 15.8326802","","Podsused","Zvono","Staklo",15.832680200403475,45.82136019961255
36,"ALEJA TIŠINE 9 , 10040 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8410425<br>Zemljopisna dužina: 16.0450525","Gornja Dubrava","Gornja Dubrava","Zvono","Staklo",16.045009584914954,45.841248041338424
38,"AUGUSTA ŠENOE 52, VUGROVEC DONJI, SESVETE","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8811114<br>Zemljopisna dužina: 16.109314","Sesvete","Vugrovec","Zvono","Staklo",16.109126245023397,45.88079210353224
40,"Ulica Ivana Šibla 9, 10020, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7779<br>Zemljopisna dužina: 15.9886767","Novi Zagreb - istok","Središće","Zvono","Staklo",15.987807664035083,45.7781506704044
41,"AVENIJA MARINA DRŽIĆA 19, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8015795<br>Zemljopisna dužina: 15.9950192","Trnje","Kanal","Zvono","Staklo",15.995383980298618,45.80182632447414
44,"BARTOLIĆI 45, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7844302<br>Zemljopisna dužina: 15.9244896","Trešnjevka - jug","Jarun","Zvono","Staklo",15.92385793995229,45.784211354023796
45,"BARTOLIĆI, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7847669<br>Zemljopisna dužina: 15.9256268","Trešnjevka - jug","Jarun","","Staklo",15.925626799652436,45.78476689909565
47,"BELOVAR Varaždinska 37, 10363 BELOVAR","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.882262<br>Zemljopisna dužina: 16.1755403","","Belovar","Zvono","Staklo",16.17554030050114,45.882261998983466
48,"BIDROVEČKA CESTA 30, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8924333<br>Zemljopisna dužina: 16.02852","Podsljeme","Markuševec","Zvono","Staklo",16.028573644255683,45.89241836498054
49,"BIJENIČKA CESTA 30, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8267053<br>Zemljopisna dužina: 15.9851342","Gornji Grad - Medveščak","Šalata","Zvono","Staklo",15.985139564973556,45.8264174656286
50,"BIJENIK 179a, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8451115<br>Zemljopisna dužina: 15.9379358","Črnomerec","Medvedgrad","Zvono","Staklo",15.938600988202445,45.84715552176573
51,"BIJENIK 150, 10110 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8452909<br>Zemljopisna dužina: 15.9368736","Črnomerec","Medvedgrad","Zvono","Staklo",15.936873599636623,45.84529089897017
52,"BILOGORSKA 1H, 10361 DUMOVEC","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8004548<br>Zemljopisna dužina: 16.1523795","","Dumovec","Zvono","Staklo",16.15410684259629,45.80149072932915
55,"BJELOVARSKA 50, CENTAR, SESVETE","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8239204<br>Zemljopisna dužina: 16.1205253","","Centar","Zvono","Staklo",16.120455562606974,45.824208246009995
58,"BLAGUŠKA ULICA 7, 10362 BLAGUŠA","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.9221941<br>Zemljopisna dužina: 16.1312999","","Blaguša","Zvono","Staklo",16.131680773643495,45.92250755889871
59,"BLANJE 62, PODSUSED, 10090 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.816676<br>Zemljopisna dužina: 15.84569","","Podsused","Zvono","Staklo",15.845689999534496,45.8166759991324
61,"BOLNIČKA CESTA 34m, PERJAVICA - BORČEC 10090 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.815876<br>Zemljopisna dužina: 15.8940661","Podsused - Vrapče","Perjavica - Borčec","Zvono","Staklo",15.893851523435279,45.815905909933555
63,"Bolnička cesta 68, 10090, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8173713<br>Zemljopisna dužina: 15.8891896","Podsused - Vrapče","Perjavica - Borčec","Zvono","Staklo",15.889315664284345,45.81713949862288
65,"BOSANSKA ULICA 37, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8166489<br>Zemljopisna dužina: 15.9583819","Gornji Grad - Medveščak","\"Stjepan Radić\"","Zvono","Staklo",15.958381900320626,45.81664889956634
66,"BOŽIDARA MAGOVCA 18, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7688967<br>Zemljopisna dužina: 15.9979017","Novi Zagreb - istok","Travno","Zvono","Staklo",15.997864149621249,45.768982764621036
67,"BRANKA PERICE 1-3, FERENŠČICA, PEŠČENICA - ŽITNJAK","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8007034<br>Zemljopisna dužina: 16.0208771","Peščenica - Žitnjak","Ferenščica","Zvono","Staklo",16.020606197215038,45.80037803231838
70,"BREG 2, ĐURĐEKOVEC, SESVETE","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8771413<br>Zemljopisna dužina: 16.1169566","","Đurđekovec","Zvono","Staklo",16.116774209765634,45.87720292182384
71,"Kraljevića Miroslava 17, 10360 Sesvete","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8295705<br>Zemljopisna dužina: 16.0977942","Sesvete","Staro Brestje","Zvono","Staklo",16.097912216735388,45.83240375556136
72,"Brezovička cesta 100, 10257, Brezovica, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7241217<br>Zemljopisna dužina: 15.9066783","Brezovica","Brezovica","Zvono","Staklo",15.907112817916612,45.724829494663126
75,"BUDAKOVA 16, PEŠČENICA, PEŠČENICA - ŽITNJAK","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.813583<br>Zemljopisna dužina: 16.017047","Peščenica - Žitnjak","Peščenica","Zvono","Staklo",16.016723793829698,45.8135624351432
77,"BUKOVAC 137, 10009 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8443822<br>Zemljopisna dužina: 16.0087487","Maksimir","Bukovac","Zvono","Staklo",16.00874869989452,45.84438219883509
79,"BUKOVAČKA CESTA 223, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8397549<br>Zemljopisna dužina: 16.001971","Maksimir","Remete","Zvono","Staklo",16.001857005782977,45.83967408203238
81,"BUŽANOVA 41, PEŠČENICA, PEŠČENICA - ŽITNJAK","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8128394<br>Zemljopisna dužina: 16.0058282","Peščenica - Žitnjak","Peščenica","Zvono","Staklo",16.006241259708087,45.812687968862704
82,"BUZINSKA CESTA 58, 10010 MJESNI ODBOR BUZIN","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7512041<br>Zemljopisna dužina: 15.9903961","Novi Zagreb - istok","Buzin","Zvono","Staklo",15.990396099865942,45.751204099623415
84,"Podolnica BB (GROBLJE CERJE), 10361 CERJE","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8286626<br>Zemljopisna dužina: 16.1912096","","Cerje - Sesvete","Zvono","Staklo",16.19064097181065,45.82877286930918
85,"Ulica Dobriše Cesarića 15, 10360, Sesvete, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8307978<br>Zemljopisna dužina: 16.1120146","Sesvete","Gajišće","Zvono","Staklo",16.112379380510973,45.83082022606652
86,"PETE POLJANICE 10, 10040 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8284688<br>Zemljopisna dužina: 16.0732976","Gornja Dubrava","Poljanice","Zvono","Staklo",16.07329759976897,45.82846879888546
89,"ČOČKIMarkuševečki popovec 111, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8914467<br>Zemljopisna dužina: 16.033225","Podsljeme","Vidovec","Zvono","Staklo",16.033224999588803,45.8914466992558
90,"CRNOJEZERSKA ULICA 20, STENJEVEC - SJEVER, 10090 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8163368<br>Zemljopisna dužina: 15.8850856","Podsused - Vrapče","Stenjevec - sjever","Zvono","Papir",15.885184841876905,45.81638353384794
91,"ČRNOMEREC 1, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8151767<br>Zemljopisna dužina: 15.9361217","Črnomerec","\"Bartol Kašić\"","Zvono","Staklo",15.936102924623919,45.81513744081308
95,"CVJETNA CESTA 9, 10240 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.79255<br>Zemljopisna dužina: 15.9621817","Trnje","Savski kuti","Zvono","Staklo",15.96218169936562,45.79254999931742
96,"Dankovečka ulica 33, 10040, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8346731<br>Zemljopisna dužina: 16.0560853","Gornja Dubrava","Studentski grad","Zvono","Staklo",16.055838537162497,45.83452359712568
97,"DANKOVEČKA ULICA 7, 10040 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8306885<br>Zemljopisna dužina: 16.056203","Gornja Dubrava","Studentski grad","Zvono","Staklo",16.05636929671521,45.83077820711707
98,"Koledinečka 1, 10040 Zagreb","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8319892<br>Zemljopisna dužina: 16.0561701","Gornja Dubrava","Klaka","Zvono","Staklo",16.056454414284012,45.83214244587949
99,"Demerska ulica 33, 10257, Demerje, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7325135<br>Zemljopisna dužina: 15.888604","Brezovica","Demerje","Zvono","Staklo",15.888604000409098,45.73251349961598
100,"DESPRIMSKA ULICA 14B, 10257 DESPRIM","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7238975<br>Zemljopisna dužina: 15.9008598","Brezovica","Brezovica","Zvono","Staklo",15.900873210444763,45.72389749963167
101,"DINARSKA 67, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7943812<br>Zemljopisna dužina: 15.9349195","Trešnjevka - sjever","Ljubljanica","Zvono","Staklo",15.934919500339518,45.794381199320284
102,"DOMJANIĆA DRAGUTINA 11, ADAMOVEC, SESVETE","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8951059<br>Zemljopisna dužina: 16.1676984","","Adamovec","Zvono","Staklo",16.167945163053943,45.894900556911026
110,"DUBEČKA ULICA 94, 10040 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8349458<br>Zemljopisna dužina: 16.0778477","Gornja Dubrava","Dubec","Zvono","Staklo",16.077847699898044,45.83494579956309
112,"FOČANSKA","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8262167<br>Zemljopisna dužina: 16.04523","Donja Dubrava","Donja Dubrava","Zvono","Staklo",16.0448732668148,45.8257681222202
113,"Dubravica 32, 10090, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8211636<br>Zemljopisna dužina: 15.8709561","Podsused - Vrapče","Gornji Stenjevec","Zvono","Staklo",15.871159948394023,45.82107387568759
114,"DUBRAVICA 85A, GORNJI STENJEVEC, 10090 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.827779<br>Zemljopisna dužina: 15.8702648","Podsused - Vrapče","Gornji Stenjevec","Zvono","Staklo",15.870366724526495,45.82775283265619
117,"DUGUlica Ive Robića 3, 10020, Zagreb, Grad Zagreb, HRVOOTOČKA ULICA, 10020 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7723333<br>Zemljopisna dužina: 15.94961","Novi Zagreb - zapad","Remetinec","Zvono","Staklo",15.949856762810732,45.77245677686482
119,"DUIĆA DANE 1, SAVICA ŠANCI, PEŠČENICA - ŽITNJAK","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.788922<br>Zemljopisna dužina: 16.0055233","Peščenica - Žitnjak","Savica Šanci","Zvono","Staklo",16.00544819808853,45.78944381440936
120,"ANDRILOVEČKA 62, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8030317<br>Zemljopisna dužina: 16.0194567","Peščenica - Žitnjak","Ferenščica","Zvono","Staklo",16.0196551831163,45.80318596076986
121,"FONOVA ULICA 4, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8097356<br>Zemljopisna dužina: 15.9533609","Črnomerec","\"Ban Keglević\"","Zvono","Staklo",15.953360900306924,45.809735598952784
122,"FRANJČEVIĆEVA ULICA 22, DUMOVEC, SESVETE","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8046304<br>Zemljopisna dužina: 16.158918","","Dumovec","Zvono","Staklo",16.159459806796484,45.804615440644326
123,"FRANJE 2, KUPINEČKI KRALJEVEC","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.6692827<br>Zemljopisna dužina: 15.840053","","Kupinečki Kraljevec - centar","","Staklo",15.840053000627327,45.66928269886287
124,"FRANJE WOELFLA 2, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7874452<br>Zemljopisna dužina: 15.9208577","Trešnjevka - jug","Jarun","Zvono","Staklo",15.92075577601341,45.78746764330154
125,"FRATERŠČICA 112, 10110 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8323047<br>Zemljopisna dužina: 15.9303315","Črnomerec","\"Sveti Duh\"","Zvono","Staklo",15.930331500613923,45.832304699083735
127,"FURJANIČKA ULICA 39, 10020 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7602511<br>Zemljopisna dužina: 15.9293176","Novi Zagreb - zapad","Blato","","Staklo",15.929317599629234,45.76025109898512
128,"Stjepana Vojnovića 22, 10362 GAJEC","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8823293<br>Zemljopisna dužina: 16.1404998","","Gajec","Zvono","Staklo",16.140216826924462,45.88531763690425
129,"GAJEVA ULICA 60, GLAVNICA GORNJA, SESVETE","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.9340899<br>Zemljopisna dužina: 16.1370088","","Glavnica Gornja","Zvono","Staklo",16.136633290386516,45.93399662724719
130,"GAJNIČKI VIDIKOVAC I. 8A, GORNJI STENJEVEC, 10090 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.819832<br>Zemljopisna dužina: 15.8731642","Podsused - Vrapče","Gornji Stenjevec","Zvono","Staklo",15.873164200173733,45.81983199921831
131,"ULICA AUGUSTA HARAMBAŠIĆA 53, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8137084<br>Zemljopisna dužina: 16.0115744","Peščenica - Žitnjak","Peščenica","Zvono","Staklo",16.01173063907124,45.812564965646
132,"GALOVIĆEVA ULICA 6, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8132083<br>Zemljopisna dužina: 16.0105217","Peščenica - Žitnjak","Peščenica","Zvono","Staklo",16.010779192165373,45.813383096939326
133,"Ulica Milovana Gavazzija 21, 10040, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8379133<br>Zemljopisna dužina: 16.0633832","Gornja Dubrava","Studentski grad","Zvono","Staklo",16.06390891274552,45.83783107757543
134,"GAVELLINA ULICA 1B, 10135 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.79159<br>Zemljopisna dužina: 16.0084267","Peščenica - Žitnjak","Folnegovićevo naselje","Zvono","Staklo",16.008251015322692,45.79143476998345
136,"GLAVNA ULICA  6, 10362 VUGROVEC GORNJI","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8952677<br>Zemljopisna dužina: 16.0852845","","Goranec","Zvono","Staklo",16.08511015624752,45.89535823640457
137,"Kamenščica 4, 10360 GORANEC","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8973758<br>Zemljopisna dužina: 16.0780265","","Goranec","Zvono","Staklo",16.07802649987168,45.897375798877704
139,"KRUŽNA ULICA 35, Glavničica 10360","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8498495<br>Zemljopisna dužina: 16.2146792","","Glavničica","Zvono","Staklo",16.21265145020527,45.847697212290534
140,"GLAVNIČKA CESTA 21-23, GLAVNICA DONJA, SESVETE","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.9373435<br>Zemljopisna dužina: 16.1434351","","Glavnica Donja","Zvono","Staklo",16.144604542641076,45.936962970656104
141,"Goljački breg 36, 10090, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8203633<br>Zemljopisna dužina: 15.8473133","","Podsused","Zvono","Staklo",15.847656623156174,45.82043806990451
144,"GORNJEDRAGONOŽEČKA 31, 10253 GORNJI DRAGONOŽEC","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.6477554<br>Zemljopisna dužina: 15.936968","","Dragonožec","","Staklo",15.936968000570554,45.647755399006016
145,"GOSPOČAK 86, ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8501803<br>Zemljopisna dužina: 16.0010323","Maksimir","Remete","Zvono","Staklo",16.00129381585737,45.85002523337052
148,"GRABERJE 51, 10110 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8198669<br>Zemljopisna dužina: 15.922454","Črnomerec","Gornja Kustošija","Zvono","Staklo",15.92241644921309,45.81981829840518
149,"GRAČANI 8, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8587596<br>Zemljopisna dužina: 15.971281","Podsljeme","Gračani","Zvono","Staklo",15.971468755194964,45.858867941717946
152,"GRADIŠĆANSKA ULICA 36, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8102702<br>Zemljopisna dužina: 15.9382869","Črnomerec","\"Bartol Kašić\"","Zvono","Staklo",15.938362002221258,45.81023654620612
153,"Granešina 33A, 10040, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8506067<br>Zemljopisna dužina: 16.0526883","Gornja Dubrava","Granešina","Zvono","Staklo",16.052688300212534,45.85060669888277
154,"Ulica Franje Fuisa 6, 10110, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7870226<br>Zemljopisna dužina: 15.9382975","Trešnjevka - jug","Horvati - Srednjaci","Zvono","Staklo",15.938297499432492,45.78703288668556
155,"Gredice 157, 10110, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7823726<br>Zemljopisna dužina: 15.939939","Trešnjevka - jug","Horvati - Srednjaci","Zvono","Staklo",15.939788796785207,45.782443679767766
156,"Ulica Franje Fuisa 2, 10110, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7870376<br>Zemljopisna dužina: 15.9393758","Trešnjevka - jug","Horvati - Srednjaci","Zvono","Staklo",15.939394575223702,45.78703759903501
158,"GRIČKA ULICA 4, 10360 DOBRODOL","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8404124<br>Zemljopisna dužina: 16.1089869","Sesvete","Dobrodol","Zvono","Staklo",16.109292672340747,45.840419873993575
161,"HAMIĆI 7, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8671331<br>Zemljopisna dužina: 16.0159529","Podsljeme","Markuševec","Zvono","Staklo",16.016234531572575,45.867271308169066
163,"Havidička ulica 59, 10257, Havidić Selo, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.6233418<br>Zemljopisna dužina: 15.9341071","","Havidići","Zvono","Staklo",15.934308265830888,45.62328739960792
164,"HEČIMOVIĆEVA ULICA 15, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7913804<br>Zemljopisna dužina: 15.9409798","Trešnjevka - jug","Horvati - Srednjaci","Zvono","Staklo",15.94088055863946,45.79119337584394
166,"HERCEGOVAČKA ULICA 108, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8222167<br>Zemljopisna dužina: 15.9596063","Gornji Grad - Medveščak","\"Stjepan Radić\"","Zvono","Staklo",15.958855281276005,45.82138676970161
168,"HORVAĆANSKA CESTA 55, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7880476<br>Zemljopisna dužina: 15.9408778","Trešnjevka - jug","Horvati - Srednjaci","Zvono","Staklo",15.940963631034712,45.788013932712694
170,"HORVATI 190, 10436 HORVATI","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7139747<br>Zemljopisna dužina: 15.8172306","","Horvati","Zvono","Staklo",15.816659289229888,45.71372935861047
171,"HORVATI 216, 10436 HORVATI","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7111255<br>Zemljopisna dužina: 15.8104552","","Horvati","Zvono","Staklo",15.81045519993391,45.7111254993092
172,"HORVATOVAC 11, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8187053<br>Zemljopisna dužina: 15.9933577","Gornji Grad - Medveščak","Voćarska","Zvono","Staklo",15.993411343828724,45.81878754873328
