OBJECTID,Name,Location,District,Neighbourhood,Container_Type,Bin_Type,Longitude,Latitude
784,"BAŠTIJANOVA 11, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8010104<br>Zemljopisna dužina: 15.9391164","Trešnjevka - sjever","Pongračevo","Zvono","Papir",15.939216982286613,45.801014139303106
785,"Ulica Mane Jarnovića 106, 10110, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.7939417<br>Zemljopisna dužina: 15.8936317","Trešnjevka - jug","Prečko","Zvono","Papir",15.893745693702286,45.793808919140645
787,"BIJENIČKA CESTA, 10009 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8326043<br>Zemljopisna dužina: 15.9917308","Maksimir","Kozjak","Zvono","Staklo",15.99167179146823,45.83254075795345
789,"BOLNIČKA CESTA 94, PERJAVICA-BORČEC, PODSUSED-VRAPČE","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8194785<br>Zemljopisna dužina: 15.8815622","Podsused - Vrapče","Perjavica - Borčec","Zvono","Papir",15.881669487767603,45.81936260336879
790,"BORONGAJ AERODROM 14B, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8118557<br>Zemljopisna dužina: 16.0274051","Peščenica - Žitnjak","\"Bruno Bušić\"","Zvono","Papir",16.027735011119482,45.81213145609476
791,"BORONGAJ AERODROM 5, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8099961<br>Zemljopisna dužina: 16.0268366","Peščenica - Žitnjak","\"Bruno Bušić\"","Zvono","Papir",16.02703642428851,45.80983531269066
795,"BREG 2, ĐURĐEKOVEC, SESVETE","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8771413<br>Zemljopisna dužina: 16.1169566","","Đurđekovec","Zvono","Papir",16.11687076929013,45.877201054473986
796,"AUGUSTA ŠENOE 52, VUGROVEC DONJI, SESVETE","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8820498<br>Zemljopisna dužina: 16.1106239","Sesvete","Vugrovec","Zvono","Papir",16.1090789476997,45.88082491129559
800,"BUKOVAČKA CESTA 223, 10000 ZAGREB","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.8397527<br>Zemljopisna dužina: 16.0019705","Maksimir","Remete","Zvono","Papir",16.001839742236765,45.839666743658725
801,"BUKOVAČKA CESTA 107","Vrsta spremnika: PAPIR<br>Zemljopisna širina: 45.82891<br>Zemljopisna dužina: 16.0096083","Maksimir","Maksimir","Zvono","Papir",16.009585501050925,45.82888196423797
